vol_regime,horizon,count,mean_return,median_return,std_return,hit_rate
high,1d,566,0.0005354486806962167,0.0005891471290495609,0.017407553111600502,0.5282685512367491
high,3d,565,0.0012424739407005366,-0.00048167187331848993,0.02572349312883613,0.49557522123893805
high,5d,563,0.001015014802557176,0.0006360885137972616,0.03299579605552339,0.5133214920071048
low,1d,654,1.4801059273685245e-05,-8.204887803620053e-05,0.005643575629279645,0.48623853211009177
low,3d,654,-0.00027483958631020685,-0.0010429813710586266,0.010402063032555229,0.4434250764525994
low,5d,654,-0.00033342001242150264,-0.0019650184056483333,0.014006911219546718,0.43883792048929665
medium,1d,611,-0.00048623398034338945,-0.0005311931142335524,0.0072210454889217275,0.44844517184942717
medium,3d,610,-0.0006911651853047098,-0.0018351643863692146,0.012947115914439871,0.43934426229508194
medium,5d,610,-0.0006246863805825094,-0.0028300268192076317,0.01574374824307176,0.4262295081967213
