signal_strength,horizon,count,mean_return,median_return,std_return,hit_rate
medium,1d,679,-0.0003405818347667422,-0.0003600460948067763,0.010162283973601366,0.47569955817378495
medium,3d,677,3.67460176951681e-05,-0.0012950432082137198,0.017304728431384534,0.4534711964549483
medium,5d,676,0.0005399386524668815,-0.0014683730397213601,0.020276279692133227,0.4511834319526627
strong,1d,281,0.0020527128829933416,0.0004993932743406759,0.014453824247012262,0.5373665480427047
strong,3d,281,0.0036269073167889613,0.0018091657571988051,0.02115407926149293,0.5551601423487544
strong,5d,280,0.004842078385222485,0.0019549131448042267,0.024256170231132496,0.5535714285714286
weak,1d,871,-0.00037876276723911967,-0.0002590220984064473,0.010406592771107547,0.47876004592422505
weak,3d,871,-0.0010831183535984755,-0.0017908623483178232,0.01570943742095548,0.4305396096440873
weak,5d,871,-0.002007396697324008,-0.0028974176319458422,0.022485798755200702,0.4316877152698048
